;BBSSY.D.REN.EUR.A630.000000WT1010.A;BBSSY.D.REN.EUR.A630.000000WT1010.A_FLAGS
;;
Comment;ISIN DE000BU2Z056 seit dem 02. Juli 2025;
Decimals;2;
Time format code;P1D;
category;ZRWR;
unit;PROZENT;
unit multiplier;One;
last update;2025-10-24 12:11:56;
2019-12-16;-0.30;
2019-12-17;-0.29;
2019-12-18;-0.29;
2019-12-19;-0.22;
2019-12-20;-0.23;
2019-12-21;.;No value available
2019-12-22;.;No value available
2019-12-23;-0.26;
2019-12-24;.;"Missing value; holiday or weekend"
2019-12-25;.;"Missing value; holiday or weekend"
2019-12-26;.;"Missing value; holiday or weekend"
2019-12-27;-0.25;
2019-12-28;.;No value available
2019-12-29;.;No value available
2019-12-30;-0.21;
2019-12-31;.;No value available
2020-01-01;.;No value available
2020-01-02;-0.18;
2020-01-03;-0.28;
2020-01-04;.;No value available
2020-01-05;.;No value available
2020-01-06;-0.29;
2020-01-07;-0.28;
2020-01-08;-0.25;
2020-01-09;-0.20;
2020-01-10;-0.19;
2020-01-11;.;No value available
2020-01-12;.;No value available
2020-01-13;-0.18;
2020-01-14;-0.17;
2020-01-15;-0.21;
2020-01-16;-0.21;
2020-01-17;-0.22;
2020-01-18;.;No value available
2020-01-19;.;No value available
2020-01-20;-0.21;
2020-01-21;-0.23;
2020-01-22;-0.25;
2020-01-23;-0.28;
2020-01-24;-0.31;
2020-01-25;.;No value available
2020-01-26;.;No value available
2020-01-27;-0.36;
2020-01-28;-0.40;
2020-01-29;-0.38;
2020-01-30;-0.40;
2020-01-31;-0.41;
2020-02-01;.;No value available
2020-02-02;.;No value available
2020-02-03;-0.44;
2020-02-04;-0.41;
2020-02-05;-0.37;
2020-02-06;-0.36;
2020-02-07;-0.39;
2020-02-08;.;No value available
2020-02-09;.;No value available
2020-02-10;-0.40;
2020-02-11;-0.39;
2020-02-12;-0.37;
2020-02-13;-0.41;
2020-02-14;-0.40;
2020-02-15;.;No value available
2020-02-16;.;No value available
2020-02-17;-0.40;
2020-02-18;-0.43;
2020-02-19;-0.42;
2020-02-20;-0.42;
2020-02-21;-0.45;
2020-02-22;.;No value available
2020-02-23;.;No value available
2020-02-24;-0.49;
2020-02-25;-0.50;
2020-02-26;-0.52;
2020-02-27;-0.52;
2020-02-28;-0.61;
2020-02-29;.;No value available
2020-03-01;.;No value available
2020-03-02;-0.63;
2020-03-03;-0.58;
2020-03-04;-0.64;
2020-03-05;-0.63;
2020-03-06;-0.73;
2020-03-07;.;No value available
2020-03-08;.;No value available
2020-03-09;-0.83;
2020-03-10;-0.75;
2020-03-11;-0.76;
2020-03-12;-0.79;
2020-03-13;-0.63;
2020-03-14;.;No value available
2020-03-15;.;No value available
2020-03-16;-0.56;
2020-03-17;-0.41;
2020-03-18;-0.27;
2020-03-19;-0.27;
2020-03-20;-0.26;
2020-03-21;.;No value available
2020-03-22;.;No value available
2020-03-23;-0.39;
2020-03-24;-0.36;
2020-03-25;-0.29;
2020-03-26;-0.31;
2020-03-27;-0.45;
2020-03-28;.;No value available
2020-03-29;.;No value available
2020-03-30;-0.54;
2020-03-31;-0.48;
2020-04-01;-0.51;
2020-04-02;-0.42;
2020-04-03;-0.45;
2020-04-04;.;No value available
2020-04-05;.;No value available
2020-04-06;-0.43;
2020-04-07;-0.37;
2020-04-08;-0.34;
2020-04-09;-0.32;
2020-04-10;.;No value available
2020-04-11;.;No value available
2020-04-12;.;No value available
2020-04-13;.;No value available
2020-04-14;-0.35;
2020-04-15;-0.42;
2020-04-16;-0.45;
2020-04-17;-0.47;
2020-04-18;.;No value available
2020-04-19;.;No value available
2020-04-20;-0.49;
2020-04-21;-0.47;
2020-04-22;-0.46;
2020-04-23;-0.42;
2020-04-24;-0.46;
2020-04-25;.;No value available
2020-04-26;.;No value available
2020-04-27;-0.47;
2020-04-28;-0.45;
2020-04-29;-0.48;
2020-04-30;-0.51;
2020-05-01;.;"Missing value; holiday or weekend"
2020-05-02;.;No value available
2020-05-03;.;No value available
2020-05-04;-0.58;
2020-05-05;-0.54;
2020-05-06;-0.56;
2020-05-07;-0.50;
2020-05-08;-0.56;
2020-05-09;.;No value available
2020-05-10;.;No value available
2020-05-11;-0.52;
2020-05-12;-0.51;
2020-05-13;-0.53;
2020-05-14;-0.55;
2020-05-15;-0.55;
2020-05-16;.;No value available
2020-05-17;.;No value available
2020-05-18;-0.56;
2020-05-19;-0.48;
2020-05-20;-0.46;
2020-05-21;-0.47;
2020-05-22;-0.50;
2020-05-23;.;No value available
2020-05-24;.;No value available
2020-05-25;-0.49;
2020-05-26;-0.44;
2020-05-27;-0.46;
2020-05-28;-0.43;
2020-05-29;-0.43;
2020-05-30;.;No value available
2020-05-31;.;No value available
2020-06-01;.;No value available
2020-06-02;-0.42;
2020-06-03;-0.38;
2020-06-04;-0.36;
2020-06-05;-0.31;
2020-06-06;.;No value available
2020-06-07;.;No value available
2020-06-08;-0.28;
2020-06-09;-0.34;
2020-06-10;-0.33;
2020-06-11;-0.39;
2020-06-12;-0.42;
2020-06-13;.;No value available
2020-06-14;.;No value available
2020-06-15;-0.45;
2020-06-16;-0.43;
2020-06-17;-0.37;
2020-06-18;-0.39;
2020-06-19;-0.41;
2020-06-20;.;No value available
2020-06-21;.;No value available
2020-06-22;-0.42;
2020-06-23;-0.42;
2020-06-24;-0.41;
2020-06-25;-0.46;
2020-06-26;-0.48;
2020-06-27;.;No value available
2020-06-28;.;No value available
2020-06-29;-0.47;
2020-06-30;-0.48;
2020-07-01;-0.44;
2020-07-02;-0.41;
2020-07-03;-0.45;
2020-07-04;.;No value available
2020-07-05;.;No value available
2020-07-06;-0.44;
2020-07-07;-0.45;
2020-07-08;-0.45;
2020-07-09;-0.44;
2020-07-10;-0.49;
2020-07-11;.;No value available
2020-07-12;.;No value available
2020-07-13;-0.46;
2020-07-14;-0.43;
2020-07-15;-0.46;
2020-07-16;-0.45;
2020-07-17;-0.46;
2020-07-18;.;No value available
2020-07-19;.;No value available
2020-07-20;-0.44;
2020-07-21;-0.46;
2020-07-22;-0.48;
2020-07-23;-0.49;
2020-07-24;-0.47;
2020-07-25;.;No value available
2020-07-26;.;No value available
2020-07-27;-0.47;
2020-07-28;-0.50;
2020-07-29;-0.51;
2020-07-30;-0.53;
2020-07-31;-0.55;
2020-08-01;.;No value available
2020-08-02;.;No value available
2020-08-03;-0.52;
2020-08-04;-0.54;
2020-08-05;-0.54;
2020-08-06;-0.53;
2020-08-07;-0.53;
2020-08-08;.;No value available
2020-08-09;.;No value available
2020-08-10;-0.52;
2020-08-11;-0.51;
2020-08-12;-0.45;
2020-08-13;-0.47;
2020-08-14;-0.42;
2020-08-15;.;No value available
2020-08-16;.;No value available
2020-08-17;-0.43;
2020-08-18;-0.47;
2020-08-19;-0.48;
2020-08-20;-0.48;
2020-08-21;-0.51;
2020-08-22;.;No value available
2020-08-23;.;No value available
2020-08-24;-0.49;
2020-08-25;-0.47;
2020-08-26;-0.42;
2020-08-27;-0.45;
2020-08-28;-0.39;
2020-08-29;.;No value available
2020-08-30;.;No value available
2020-08-31;-0.39;
2020-09-01;-0.39;
2020-09-02;-0.45;
2020-09-03;-0.46;
2020-09-04;-0.48;
2020-09-05;.;No value available
2020-09-06;.;No value available
2020-09-07;-0.47;
2020-09-08;-0.47;
2020-09-09;-0.51;
2020-09-10;-0.47;
2020-09-11;-0.47;
2020-09-12;.;No value available
2020-09-13;.;No value available
2020-09-14;-0.50;
2020-09-15;-0.48;
2020-09-16;-0.49;
2020-09-17;-0.47;
2020-09-18;-0.49;
2020-09-19;.;No value available
2020-09-20;.;No value available
2020-09-21;-0.51;
2020-09-22;-0.52;
2020-09-23;-0.51;
2020-09-24;-0.52;
2020-09-25;-0.52;
2020-09-26;.;No value available
2020-09-27;.;No value available
2020-09-28;-0.52;
2020-09-29;-0.54;
2020-09-30;-0.55;
2020-10-01;-0.52;
2020-10-02;-0.55;
2020-10-03;.;No value available
2020-10-04;.;No value available
2020-10-05;-0.54;
2020-10-06;-0.51;
2020-10-07;-0.51;
2020-10-08;-0.51;
2020-10-09;-0.54;
2020-10-10;.;No value available
2020-10-11;.;No value available
2020-10-12;-0.54;
2020-10-13;-0.55;
2020-10-14;-0.57;
2020-10-15;-0.62;
2020-10-16;-0.62;
2020-10-17;.;No value available
2020-10-18;.;No value available
2020-10-19;-0.62;
