Date,France_10y,Germany_10y,Belgium_10y,Italy_10y,Spain_10y,Portugal_10y,Ireland_10y,Greece_10y
2017-01-12,0.774,0.31,0.74,1.92799,1.402,3.897,0.872,6.929
2017-01-12,0.774,0.31,0.63,1.92799,1.402,3.897,0.872,6.929
2017-01-13,0.797,0.32,0.53,1.90371,1.42,3.891,0.909,7.006
2017-01-13,0.797,0.32,0.73,1.90371,1.42,3.891,0.909,7.006
2017-01-13,0.797,0.32,0.66,1.90371,1.42,3.891,0.909,7.006
2017-01-14,0.814,0.32,0.66,1.90324,1.42,3.891,0.909,7.006
2017-01-15,0.814,0.32,0.66,1.90324,1.42,3.891,0.909,7.006
2017-01-16,0.814,0.32,0.56,1.90324,1.403,3.839,0.93,7.044
2017-01-16,0.814,0.32,0.77,1.90324,1.403,3.839,0.93,7.044
2017-01-16,0.814,0.32,0.67,1.90324,1.403,3.839,0.93,7.044
2017-01-17,0.764,0.28,0.51,1.86472,1.35,3.83,0.913,7.037
2017-01-17,0.764,0.28,0.71,1.86472,1.35,3.83,0.913,7.037
2017-01-17,0.764,0.28,0.6,1.86472,1.35,3.83,0.913,7.037
2017-01-18,0.814,0.32,0.53,1.91158,1.396,3.816,0.941,7.129
2017-01-18,0.814,0.32,0.73,1.91158,1.396,3.816,0.941,7.129
2017-01-18,0.814,0.32,0.63,1.91158,1.396,3.816,0.941,7.129
2017-01-19,0.86,0.38,0.59,1.97564,1.476,3.863,0.964,7.106
2017-01-19,0.86,0.38,0.79,1.97564,1.476,3.863,0.964,7.106
2017-01-19,0.86,0.38,0.69,1.97564,1.476,3.863,0.964,7.106
2017-01-20,0.909,0.4,0.66,2.00555,1.486,3.861,1.036,7.106
2017-01-20,0.909,0.4,0.82,2.00555,1.486,3.861,1.036,7.106
2017-01-20,0.909,0.4,0.73,2.00555,1.486,3.861,1.036,7.106
2017-01-21,0.924,0.4,0.73,2.03765,1.486,3.861,1.048,7.106
2017-01-22,0.924,0.4,0.73,2.03765,1.486,3.861,1.048,7.106
2017-01-23,0.924,0.4,0.74,2.03765,1.486,3.793,0.996,7.057
2017-01-23,0.924,0.4,0.66,2.03765,1.486,3.793,0.996,7.057
2017-01-23,0.924,0.4,0.83,2.03765,1.486,3.793,0.996,7.057
2017-01-24,0.882,0.38,0.63,1.9954,1.417,3.835,1.039,7.013
2017-01-24,0.882,0.38,0.81,1.9954,1.417,3.835,1.039,7.013
2017-01-24,0.882,0.38,0.69,1.9954,1.417,3.835,1.039,7.013
2017-01-25,0.943,0.44,0.7,2.06867,1.507,3.969,1.112,6.899
2017-01-25,0.943,0.44,0.88,2.06867,1.507,3.969,1.112,6.899
2017-01-25,0.943,0.44,0.76,2.06867,1.507,3.969,1.112,6.899
2017-01-26,1.036,0.49,0.76,2.20117,1.53,4.111,1.166,6.924
2017-01-26,1.036,0.49,0.93,2.20117,1.53,4.111,1.166,6.924
2017-01-26,1.036,0.49,0.85,2.20117,1.53,4.111,1.166,6.924
2017-01-27,1.027,0.47,0.77,2.22529,1.613,4.121,1.158,7.138
2017-01-27,1.027,0.47,0.95,2.22529,1.613,4.121,1.158,7.138
2017-01-27,1.027,0.47,0.82,2.22529,1.613,4.121,1.158,7.138
2017-01-28,1.105,0.47,0.82,2.31284,1.613,4.121,1.158,7.138
2017-01-29,1.105,0.47,0.82,2.31284,1.613,4.121,1.158,7.138
2017-01-30,1.105,0.48,0.78,2.31284,1.692,4.219,1.184,7.629
2017-01-30,1.105,0.48,0.96,2.31284,1.692,4.219,1.184,7.629
2017-01-30,1.105,0.48,0.87,2.31284,1.692,4.219,1.184,7.629
2017-01-31,1.084,0.48,0.77,2.27248,1.669,4.187,1.16,7.83
2017-01-31,1.084,0.48,0.94,2.27248,1.669,4.187,1.16,7.83
2017-01-31,1.084,0.48,0.86,2.27248,1.669,4.187,1.16,7.83
2017-02-01,1.102,0.46,0.7,2.27275,1.7,4.202,1.199,7.653
2017-02-01,1.102,0.46,0.88,2.27275,1.7,4.202,1.199,7.653
2017-02-01,1.102,0.46,0.99,2.27275,1.7,4.202,1.199,7.653
2017-02-02,1.106,0.45,0.7,2.27051,1.701,4.108,1.13,7.569
2017-02-02,1.106,0.45,0.88,2.27051,1.701,4.108,1.13,7.569
2017-02-02,1.106,0.45,1.01,2.27051,1.701,4.108,1.13,7.569
2017-02-03,1.089,0.44,0.76,2.34345,1.706,4.146,1.161,7.558
2017-02-03,1.089,0.44,0.93,2.34345,1.706,4.146,1.161,7.558
2017-02-03,1.089,0.44,0.97,2.34345,1.706,4.146,1.161,7.558
2017-02-04,1.129,0.44,0.97,2.43993,1.706,4.146,1.161,7.558
2017-02-05,1.129,0.44,0.97,2.43993,1.706,4.146,1.161,7.558
2017-02-06,1.129,0.4,1.01,2.43993,1.737,4.238,1.217,7.556
2017-02-06,1.129,0.4,0.78,2.43993,1.737,4.238,1.217,7.556
2017-02-06,1.129,0.4,0.95,2.43993,1.737,4.238,1.217,7.556
2017-02-07,1.136,0.36,0.95,2.41597,1.78,4.204,1.161,7.821
2017-02-07,1.136,0.36,0.74,2.41597,1.78,4.204,1.161,7.821
2017-02-07,1.136,0.36,0.91,2.41597,1.78,4.204,1.161,7.821
2017-02-08,1.121,0.34,0.71,2.38912,1.736,4.118,1.067,7.704
2017-02-08,1.121,0.34,0.88,2.38912,1.736,4.118,1.067,7.704
2017-02-08,1.121,0.34,0.98,2.38912,1.736,4.118,1.067,7.704
2017-02-09,1.001,0.31,0.63,2.30501,1.641,4.057,1.046,7.86
2017-02-09,1.001,0.31,0.8,2.30501,1.641,4.057,1.046,7.86
2017-02-09,1.001,0.31,0.85,2.30501,1.641,4.057,1.046,7.86
2017-02-10,1.045,0.33,0.65,2.37448,1.742,4.104,1.086,7.33
2017-02-10,1.045,0.33,0.83,2.37448,1.742,4.104,1.086,7.33
2017-02-10,1.045,0.33,0.88,2.37448,1.742,4.104,1.086,7.33
2017-02-11,1.097,0.33,0.88,2.40797,1.742,4.104,1.086,7.33
2017-02-12,1.097,0.33,0.88,2.40797,1.742,4.104,1.086,7.33
2017-02-13,1.097,0.34,0.64,2.40797,1.686,3.992,1.058,7.522
2017-02-13,1.097,0.34,0.83,2.40797,1.686,3.992,1.058,7.522
2017-02-13,1.097,0.34,0.89,2.40797,1.686,3.992,1.058,7.522
2017-02-14,1.048,0.33,0.86,2.35763,1.709,4.036,1.057,7.533
2017-02-14,1.048,0.33,0.64,2.35763,1.709,4.036,1.057,7.533
2017-02-14,1.048,0.33,0.83,2.35763,1.709,4.036,1.057,7.533
2017-02-15,1.069,0.37,0.64,2.39164,1.688,4.088,1.087,7.791
2017-02-15,1.069,0.37,0.83,2.39164,1.688,4.088,1.087,7.791
2017-02-15,1.069,0.37,0.89,2.39164,1.688,4.088,1.087,7.791
2017-02-16,1.088,0.37,0.63,2.32579,1.692,3.968,1.054,7.809
2017-02-16,1.088,0.37,0.82,2.32579,1.692,3.968,1.054,7.809
2017-02-16,1.088,0.37,0.89,2.32579,1.692,3.968,1.054,7.809
2017-02-17,1.074,0.3,0.79,2.31254,1.69,4.014,1.045,7.814
2017-02-17,1.074,0.3,0.88,2.31254,1.69,4.014,1.045,7.814
2017-02-17,1.074,0.3,0.6,2.31254,1.69,4.014,1.045,7.814
2017-02-18,1.075,0.3,0.79,2.35671,1.69,4.014,1.045,7.814
2017-02-19,1.075,0.3,0.79,2.35671,1.69,4.014,1.045,7.814
2017-02-20,1.075,0.31,0.63,2.35671,1.682,3.983,1.079,7.733
2017-02-20,1.075,0.31,0.82,2.35671,1.682,3.983,1.079,7.733
2017-02-20,1.075,0.31,0.85,2.35671,1.682,3.983,1.079,7.733
2017-02-21,1.132,0.33,0.87,2.37813,1.696,3.999,1.079,7.207
2017-02-21,1.132,0.33,0.63,2.37813,1.696,3.999,1.079,7.207
2017-02-21,1.132,0.33,0.82,2.37813,1.696,3.999,1.079,7.207
2017-02-22,1.029,0.27,0.55,2.38437,1.744,3.972,1.066,7.274
2017-02-22,1.029,0.27,0.74,2.38437,1.744,3.972,1.066,7.274
2017-02-22,1.029,0.27,0.82,2.38437,1.744,3.972,1.066,7.274
2017-02-23,1.029,0.27,0.5,2.37879,1.752,3.959,0.987,7.306
2017-02-23,1.029,0.27,0.69,2.37879,1.752,3.959,0.987,7.306
2017-02-23,1.029,0.27,0.75,2.37879,1.752,3.959,0.987,7.306
2017-02-24,1.004,0.21,0.5,2.35859,1.714,3.908,0.921,7.259
2017-02-24,1.004,0.21,0.7,2.35859,1.714,3.908,0.921,7.259
2017-02-24,1.004,0.21,0.75,2.35859,1.714,3.908,0.921,7.259
2017-02-25,0.922,0.21,0.75,2.31093,1.714,3.908,0.921,7.259
2017-02-26,0.922,0.21,0.75,2.31093,1.714,3.908,0.921,7.259
2017-02-27,0.922,0.19,0.48,2.31093,1.646,3.881,0.894,7.251
2017-02-27,0.922,0.19,0.67,2.31093,1.646,3.881,0.894,7.251
2017-02-27,0.922,0.19,0.7,2.31093,1.646,3.881,0.894,7.251
2017-02-28,0.911,0.21,0.66,2.264,1.618,3.882,0.882,7.181
2017-02-28,0.911,0.21,0.7,2.264,1.618,3.882,0.882,7.181
2017-02-28,0.911,0.21,0.47,2.264,1.618,3.882,0.882,7.181
2017-03-01,0.96,0.24,0.48,2.28259,1.68,3.936,0.934,6.969
2017-03-01,0.96,0.24,0.68,2.28259,1.68,3.936,0.934,6.969
2017-03-01,0.96,0.24,0.73,2.28259,1.68,3.936,0.934,6.969
2017-03-02,0.954,0.28,0.52,2.29232,1.679,3.943,0.972,7.056
2017-03-02,0.954,0.28,0.72,2.29232,1.679,3.943,0.972,7.056
2017-03-02,0.954,0.28,0.74,2.29232,1.679,3.943,0.972,7.056
2017-03-03,0.947,0.3,0.56,2.28121,1.668,3.943,1.019,7.062
2017-03-03,0.947,0.3,0.76,2.28121,1.668,3.943,1.019,7.062
2017-03-03,0.947,0.3,0.78,2.28121,1.668,3.943,1.019,7.062
